f(Hz),Y
1e+11,3.04358e-05
1.07e+11,3.51676e-05
1.14e+11,4.07246e-05
1.21e+11,4.42809e-05
1.28e+11,5.04877e-05
1.35e+11,5.41477e-05
1.42e+11,5.95943e-05
1.49e+11,6.33376e-05
1.56e+11,7.1392e-05
1.63e+11,8.01848e-05
1.7e+11,8.79614e-05
1.77e+11,9.70844e-05
1.84e+11,0.00010417
1.91e+11,0.000113581
1.98e+11,0.000121441
2.05e+11,0.000129819
2.12e+11,0.000138032
2.19e+11,0.000146674
2.26e+11,0.000156979
2.33e+11,0.000165088
2.4e+11,0.000176052
2.47e+11,0.000186105
2.54e+11,0.000196546
2.61e+11,0.000208142
2.68e+11,0.000218976
2.75e+11,0.000231833
2.82e+11,0.000244545
2.89e+11,0.000258809
2.96e+11,0.000281556
3.03e+11,0.000305222
3.1e+11,0.000315382
3.17e+11,0.000332968
3.24e+11,0.000353401
3.31e+11,0.000373706
3.38e+11,0.000400176
3.45e+11,0.000424465
3.52e+11,0.000456454
3.59e+11,0.000487642
3.66e+11,0.000525714
3.73e+11,0.000566247
3.8e+11,0.000611479
3.87e+11,0.00066383
3.94e+11,0.000715941
4.01e+11,0.000777194
4.08e+11,0.00084082
4.15e+11,0.000917367
4.22e+11,0.00099945
4.29e+11,0.00109405
4.36e+11,0.00120047
4.43e+11,0.00131125
4.5e+11,0.00143768
4.57e+11,0.00157401
4.64e+11,0.00173493
4.71e+11,0.00191094
4.78e+11,0.0021163
4.85e+11,0.00234909
4.92e+11,0.00260408
4.99e+11,0.00289953
5.06e+11,0.00322949
5.13e+11,0.00362582
5.2e+11,0.00407193
5.27e+11,0.00460587
5.34e+11,0.00522839
5.41e+11,0.00595935
5.48e+11,0.00683738
5.55e+11,0.00787589
5.62e+11,0.00917764
5.69e+11,0.0107238
5.76e+11,0.0127234
5.83e+11,0.0151711
5.9e+11,0.0184012
5.97e+11,0.02276
6.04e+11,0.0277016
6.11e+11,0.0341311
6.18e+11,0.0432107
6.25e+11,0.055371
6.32e+11,0.0719124
6.39e+11,0.0936991
6.46e+11,0.120264
6.53e+11,0.14776
6.6e+11,0.166832
6.67e+11,0.168646
6.74e+11,0.153151
6.81e+11,0.129206
6.88e+11,0.105252
6.95e+11,0.0849061
7.02e+11,0.0689108
7.09e+11,0.056584
7.16e+11,0.0471462
7.23e+11,0.0398498
7.3e+11,0.0341574
7.37e+11,0.0296924
7.44e+11,0.0260874
7.51e+11,0.0231566
7.58e+11,0.0207269
7.65e+11,0.0186938
7.72e+11,0.0169751
7.79e+11,0.0155184
7.86e+11,0.0142928
7.93e+11,0.0132132
8e+11,0.012271
8.07e+11,0.0114277
8.14e+11,0.0106756
8.21e+11,0.00999852
8.28e+11,0.00940275
8.35e+11,0.00888299
8.42e+11,0.00839808
8.49e+11,0.00795871
8.56e+11,0.00754539
8.63e+11,0.00716589
8.7e+11,0.00681138
8.77e+11,0.0064994
8.84e+11,0.00622483
8.91e+11,0.00594748
8.98e+11,0.00569625
9.05e+11,0.00548921
9.12e+11,0.00528951
9.19e+11,0.00509842
9.26e+11,0.00494588
9.33e+11,0.00480851
9.4e+11,0.00468489
9.47e+11,0.00457179
9.54e+11,0.00447022
9.61e+11,0.0043812
9.68e+11,0.00430278
9.75e+11,0.00425876
9.82e+11,0.00422767
9.89e+11,0.0042071
9.96e+11,0.00419725
1.003e+12,0.0041967
1.01e+12,0.00420774
1.017e+12,0.00422785
1.024e+12,0.00428312
1.031e+12,0.00434796
1.038e+12,0.00442228
1.045e+12,0.00450685
1.052e+12,0.00459993
1.059e+12,0.00470447
1.066e+12,0.00481851
1.073e+12,0.00496654
1.08e+12,0.00512206
1.087e+12,0.00528773
1.094e+12,0.00546297
1.101e+12,0.00564835
1.108e+12,0.00584679
1.115e+12,0.00606156
1.122e+12,0.0063095
1.129e+12,0.00657083
1.136e+12,0.0068472
1.143e+12,0.00714121
1.15e+12,0.00745251
1.157e+12,0.00778436
1.164e+12,0.00814804
1.171e+12,0.00854841
1.178e+12,0.00898368
1.185e+12,0.00941431
1.192e+12,0.00986524
1.199e+12,0.0104126
1.206e+12,0.0109913
1.213e+12,0.011601
1.22e+12,0.0122803
1.227e+12,0.0129756
1.234e+12,0.0137083
1.241e+12,0.0144519
1.248e+12,0.0152001
1.255e+12,0.0159421
1.262e+12,0.0166618
1.269e+12,0.0173642
1.276e+12,0.017959
1.283e+12,0.018444
1.29e+12,0.0187624
1.297e+12,0.0189021
1.304e+12,0.0188412
1.311e+12,0.0186047
1.318e+12,0.0182015
1.325e+12,0.017608
1.332e+12,0.0168657
1.339e+12,0.016004
1.346e+12,0.0150593
1.353e+12,0.0140736
1.36e+12,0.0131065
1.367e+12,0.0121671
1.374e+12,0.0112541
1.381e+12,0.010373
1.388e+12,0.00954946
1.395e+12,0.00876519
1.402e+12,0.00804656
1.409e+12,0.00740162
1.416e+12,0.00682649
1.423e+12,0.00629536
1.43e+12,0.00581589
1.437e+12,0.0053901
1.444e+12,0.00500349
1.451e+12,0.00467276
1.458e+12,0.00439756
1.465e+12,0.00416574
1.472e+12,0.00397303
1.479e+12,0.00379571
1.486e+12,0.0035851
1.493e+12,0.00339913
1.5e+12,0.00322648
