f(THz),Y
0.1,5.32286e-05
0.107,5.14862e-05
0.114,5.87893e-05
0.121,2.19235e-05
0.128,6.4488e-05
0.135,7.94298e-06
0.142,5.77646e-05
0.149,1.25075e-05
0.156,3.94178e-05
0.163,2.50251e-05
0.17,2.06326e-05
0.177,4.15656e-05
0.184,5.01459e-06
0.191,5.4265e-05
0.198,6.29907e-07
0.205,5.58435e-05
0.212,1.12191e-05
0.219,4.66582e-05
0.226,3.56951e-05
0.233,3.123e-05
0.24,6.57537e-05
0.247,2.07066e-05
0.254,8.97618e-05
0.261,2.655e-05
0.268,9.8586e-05
0.275,5.48335e-05
0.282,9.29358e-05
0.289,0.000100904
0.296,8.68462e-05
0.303,0.000155465
0.31,8.3961e-05
0.317,0.000179285
0.324,0.000110988
0.331,0.000188449
0.338,0.000164992
0.345,0.000187146
0.352,0.000234152
0.359,0.00019325
0.366,0.000302654
0.373,0.000227266
0.38,0.000358332
0.387,0.000303256
0.394,0.00040194
0.401,0.000422747
0.408,0.000449363
0.415,0.000578062
0.422,0.000534156
0.429,0.000757905
0.436,0.000697589
0.443,0.000957335
0.45,0.000974478
0.457,0.00119089
0.464,0.00139633
0.471,0.00151973
0.478,0.00199398
0.485,0.00205833
0.492,0.00279451
0.499,0.00298068
0.506,0.00390838
0.513,0.00456329
0.52,0.00561234
0.527,0.00729583
0.534,0.00864806
0.541,0.0122376
0.548,0.0149099
0.555,0.02229
0.562,0.030365
0.569,0.0481524
0.576,0.0803012
0.583,0.144648
0.59,0.300839
0.597,0.401604
0.604,0.293202
0.611,0.152656
0.618,0.0923657
0.625,0.0574004
0.632,0.0401184
0.639,0.0299545
0.646,0.02261
0.653,0.0189042
0.66,0.0150508
0.667,0.0133614
0.674,0.0112562
0.681,0.0102243
0.688,0.00915996
0.695,0.00836059
0.702,0.00789103
0.709,0.0072315
0.716,0.00706019
0.723,0.00657134
0.73,0.00649675
0.737,0.00621146
0.744,0.00611588
0.751,0.00601705
0.758,0.0058724
0.765,0.00590199
0.772,0.00574434
0.779,0.00581676
0.786,0.00569775
0.793,0.00573495
0.8,0.0056915
0.807,0.00566213
0.814,0.00569094
0.821,0.00561037
0.828,0.00566968
0.835,0.00557936
0.842,0.00561966
0.849,0.00556647
0.856,0.00555895
0.863,0.00555773
0.87,0.00550619
0.877,0.005544
0.884,0.00548274
0.891,0.00550824
0.898,0.00546116
0.905,0.00554595
0.912,0.00558843
0.919,0.00562703
0.926,0.00573925
0.933,0.00578624
0.94,0.0059571
0.947,0.00604892
0.954,0.00625907
0.961,0.0064451
0.968,0.00668792
0.975,0.00701223
0.982,0.00733995
0.989,0.00781489
0.996,0.00826336
1.003,0.00889982
1.01,0.00955118
1.017,0.0103809
1.024,0.0113865
1.031,0.0125436
1.038,0.0139988
1.045,0.0156114
1.052,0.0176965
1.059,0.0200712
1.066,0.0231003
1.073,0.0268863
1.08,0.0316039
1.087,0.0376513
1.094,0.0451849
1.101,0.0551505
1.108,0.0677858
1.115,0.0844527
1.122,0.105854
1.129,0.131644
1.136,0.159504
1.143,0.182545
1.15,0.192849
1.157,0.185216
1.164,0.164287
1.171,0.138765
1.178,0.11393
1.185,0.0932247
1.192,0.0761811
1.199,0.0628845
1.206,0.0527363
1.213,0.0447289
1.22,0.0387543
1.227,0.0337563
1.234,0.0298864
1.241,0.0265937
1.248,0.0239244
1.255,0.0217164
1.262,0.0198339
1.269,0.0184197
1.276,0.0170446
1.283,0.0159925
1.29,0.0149447
1.297,0.0140735
1.304,0.0132708
1.311,0.0125336
1.318,0.0120132
1.325,0.011577
1.332,0.0116512
1.339,0.0118098
1.346,0.0117785
1.353,0.0113644
1.36,0.0107864
1.367,0.0103817
1.374,0.00995031
1.381,0.00971296
1.388,0.00934452
1.395,0.00902665
1.402,0.00871977
1.409,0.00846315
1.416,0.00842657
1.423,0.0083125
1.43,0.00842039
1.437,0.00838575
1.444,0.00846734
1.451,0.00848672
1.458,0.00855243
1.465,0.00874791
1.472,0.00888427
1.479,0.00929152
1.486,0.00943892
1.493,0.009949
1.5,0.0104218
