Frequency (THz),Loss (dB/mm)
0.1,1.02642
0.148276,1.03054
0.196552,1.03397
0.244828,1.03775
0.293103,1.04242
0.341379,1.048
0.389655,1.05439
0.437931,1.06139
0.486207,1.06881
0.534483,1.07664
0.582759,1.08489
0.631034,1.09358
0.67931,1.10271
0.727586,1.11229
0.775862,1.12232
0.824138,1.13282
0.872414,1.1438
0.92069,1.15528
0.968966,1.1673
1.01724,1.17989
1.06552,1.19307
1.11379,1.20689
1.16207,1.22137
1.21034,1.23652
1.25862,1.25238
1.3069,1.26896
1.35517,1.28627
1.40345,1.30433
1.45172,1.32313
1.5,1.3427
