f(THz),Y
0.1, 0.918487
0.104667, 0.928746
0.109333, 0.910504
0.114, 0.918008
0.118667, 0.912783
0.123333, 0.904032
0.128, 0.910954
0.132667, 0.89931
0.137333, 0.900893
0.142, 0.900297
0.146667, 0.892266
0.151333, 0.897081
0.156, 0.891025
0.160667, 0.889561
0.165333, 0.891904
0.17, 0.885876
0.174667, 0.889041
0.179333, 0.887745
0.184, 0.885153
0.188667, 0.889111
0.193333, 0.88569
0.198, 0.887257
0.202667, 0.889061
0.207333, 0.88608
0.212, 0.890185
0.216667, 0.889074
0.221333, 0.889147
0.226, 0.892962
0.230667, 0.890515
0.235333, 0.89411
0.24, 0.895126
0.244667, 0.894147
0.249333, 0.898686
0.254, 0.896986
0.258667, 0.899263
0.263333, 0.901521
0.268, 0.899748
0.272667, 0.903901
0.277333, 0.902795
0.282, 0.903502
0.286667, 0.90623
0.291333, 0.903814
0.296, 0.906793
0.300667, 0.905685
0.305333, 0.904337
0.31, 0.907218
0.314667, 0.904524
0.319333, 0.906024
0.324, 0.906181
0.328667, 0.903947
0.333333, 0.906211
0.338, 0.903707
0.342667, 0.903672
0.347333, 0.904276
0.352, 0.901308
0.356667, 0.902812
0.361333, 0.900888
0.366, 0.89958
0.370667, 0.900555
0.375333, 0.897448
0.38, 0.898159
0.384667, 0.89714
0.389333, 0.894998
0.394, 0.896285
0.398667, 0.893637
0.403333, 0.893629
0.408, 0.893706
0.412667, 0.891201
0.417333, 0.892628
0.422, 0.890867
0.426667, 0.890181
0.431333, 0.891272
0.436, 0.888805
0.440667, 0.890112
0.445333, 0.889455
0.45, 0.888123
0.454667, 0.889952
0.459333, 0.887829
0.464, 0.888724
0.468667, 0.889199
0.473333, 0.887229
0.478, 0.889471
0.482667, 0.887928
0.487333, 0.8879
0.492, 0.889326
0.496667, 0.886712
0.501333, 0.8886
0.506, 0.887513
0.510667, 0.885916
0.515333, 0.887736
0.52, 0.884043
0.524667, 0.884377
0.529333, 0.883255
0.534, 0.878693
0.538667, 0.879409
0.543333, 0.873068
0.548, 0.86871
0.552667, 0.864821
0.557333, 0.851771
0.562, 0.843987
0.566667, 0.824489
0.571333, 0.796213
0.576, 0.761037
0.580667, 0.684556
0.585333, 0.572491
0.59, 0.372266
0.594667, 0.116923
0.599333, 0.0735426
0.604, 0.278785
0.608667, 0.490335
0.613333, 0.628336
0.618, 0.717213
0.622667, 0.763242
0.627333, 0.797677
0.632, 0.819758
0.636667, 0.831717
0.641333, 0.845229
0.646, 0.850925
0.650667, 0.856767
0.655333, 0.86255
0.66, 0.863874
0.664667, 0.868206
0.669333, 0.869819
0.674, 0.870896
0.678667, 0.873754
0.683333, 0.873581
0.688, 0.875328
0.692667, 0.876438
0.697333, 0.876275
0.702, 0.87811
0.706667, 0.877964
0.711333, 0.878601
0.716, 0.879728
0.720667, 0.879302
0.725333, 0.880534
0.73, 0.880709
0.734667, 0.880766
0.739333, 0.881869
0.744, 0.881488
0.748667, 0.88219
0.753333, 0.882619
0.758, 0.882329
0.762667, 0.88324
0.767333, 0.882977
0.772, 0.883178
0.776667, 0.8837
0.781333, 0.883197
0.786, 0.88377
0.790667, 0.883617
0.795333, 0.883364
0.8, 0.883807
0.804667, 0.8832
0.809333, 0.883367
0.814, 0.883278
0.818667, 0.882681
0.823333, 0.88294
0.828, 0.882323
0.832667, 0.882081
0.837333, 0.882016
0.842, 0.881229
0.846667, 0.88124
0.851333, 0.880701
0.856, 0.880134
0.860667, 0.880046
0.865333, 0.879249
0.87, 0.878983
0.874667, 0.878581
0.879333, 0.877868
0.884, 0.877678
0.888667, 0.877105
0.893333, 0.876382
0.898, 0.8751
0.902667, 0.873948
0.907333, 0.873865
0.912, 0.873117
0.916667, 0.872459
0.921333, 0.8722
0.926, 0.871267
0.930667, 0.870841
0.935333, 0.87024
0.94, 0.869317
0.944667, 0.868942
0.949333, 0.86797
0.954, 0.86716
0.958667, 0.866524
0.963333, 0.865273
0.968, 0.864532
0.972667, 0.863416
0.977333, 0.862068
0.982, 0.861124
0.986667, 0.859439
0.991333, 0.858042
0.996, 0.856512
1.00067, 0.85438
1.00533, 0.852725
1.01, 0.850328
1.01467, 0.847864
1.01933, 0.845454
1.024, 0.84213
1.02867, 0.839146
1.03333, 0.835421
1.038, 0.831114
1.04267, 0.826891
1.04733, 0.821367
1.052, 0.815661
1.05667, 0.809147
1.06133, 0.801213
1.066, 0.792803
1.07067, 0.782475
1.07533, 0.770645
1.08, 0.757102
1.08467, 0.740532
1.08933, 0.721468
1.094, 0.698465
1.09867, 0.670677
1.10333, 0.637662
1.108, 0.597248
1.11267, 0.548621
1.11733, 0.490329
1.122, 0.420835
1.12667, 0.340971
1.13133, 0.252915
1.136, 0.163121
1.14067, 0.0832302
1.14533, 0.0271136
1.15, 0.00707111
1.15467, 0.0267266
1.15933, 0.0796149
1.164, 0.15287
1.16867, 0.233346
1.17333, 0.312004
1.178, 0.383334
1.18267, 0.445482
1.18733, 0.497789
1.192, 0.541254
1.19667, 0.57908
1.20133, 0.610867
1.206, 0.636565
1.21067, 0.658984
1.21533, 0.677324
1.22, 0.692546
1.22467, 0.706178
1.22933, 0.716685
1.234, 0.726176
1.23867, 0.734227
1.24333, 0.740165
1.248, 0.746233
1.25267, 0.75031
1.25733, 0.75376
1.262, 0.757122
1.26667, 0.75847
1.27133, 0.760459
1.276, 0.76124
1.28067, 0.761075
1.28533, 0.761592
1.29, 0.760155
1.29467, 0.759165
1.29933, 0.757714
1.304, 0.754826
1.30867, 0.752899
1.31333, 0.749375
1.318, 0.745726
1.32267, 0.742354
1.32733, 0.737333
1.332, 0.733191
1.33667, 0.72833
1.34133, 0.722815
1.346, 0.718339
1.35067, 0.712685
1.35533, 0.707543
1.36, 0.702921
1.36467, 0.697309
1.36933, 0.693041
1.374, 0.688521
1.37867, 0.683689
1.38333, 0.68041
1.388, 0.67597
1.39267, 0.67229
1.39733, 0.66939
1.402, 0.664895
1.40667, 0.66227
1.41133, 0.658611
1.416, 0.654285
1.42067, 0.651821
1.42533, 0.646623
1.43, 0.642895
1.43467, 0.638995
1.43933, 0.632644
1.444, 0.629109
1.44867, 0.622478
1.45333, 0.616088
1.458, 0.611088
1.46267, 0.601852
1.46733, 0.59575
1.472, 0.587348
1.47667, 0.575124
1.48133, 0.565596
1.486, 0.554699
1.49067, 0.545757
1.49533, 0.53526
1.5, 0.522202
