f(Hz),Y
1e+11, 7.43087e-06
1.04667e+11, 1.49159e-05
1.09333e+11, 2.82339e-05
1.14e+11, 3.24843e-08
1.18667e+11, 2.67074e-05
1.23333e+11, 1.37541e-05
1.28e+11, 6.56594e-06
1.32667e+11, 2.83799e-05
1.37333e+11, 2.47122e-06
1.42e+11, 2.09543e-05
1.46667e+11, 1.97057e-05
1.51333e+11, 5.29886e-06
1.56e+11, 3.17354e-05
1.60667e+11, 9.35578e-06
1.65333e+11, 2.06404e-05
1.7e+11, 3.05744e-05
1.74667e+11, 8.55434e-06
1.79333e+11, 3.65777e-05
1.84e+11, 2.13808e-05
1.88667e+11, 2.14996e-05
1.93333e+11, 4.17403e-05
1.98e+11, 1.59699e-05
2.02667e+11, 3.92214e-05
2.07333e+11, 3.46523e-05
2.12e+11, 2.45642e-05
2.16667e+11, 5.18368e-05
2.21333e+11, 2.84217e-05
2.26e+11, 4.47582e-05
2.30667e+11, 5.18785e-05
2.35333e+11, 3.37909e-05
2.4e+11, 6.46977e-05
2.44667e+11, 4.71666e-05
2.49333e+11, 5.35922e-05
2.54e+11, 7.25214e-05
2.58667e+11, 4.98832e-05
2.63333e+11, 7.95683e-05
2.68e+11, 7.17845e-05
2.72667e+11, 6.91411e-05
2.77333e+11, 9.83246e-05
2.82e+11, 7.48656e-05
2.86667e+11, 0.000101412
2.91333e+11, 0.000107106
2.96e+11, 9.88195e-05
3.00667e+11, 0.000141013
3.05333e+11, 0.000115924
3.1e+11, 0.000127611
3.14667e+11, 0.000148951
3.19333e+11, 0.000125395
3.24e+11, 0.000164552
3.28667e+11, 0.000155728
3.33333e+11, 0.000159296
3.38e+11, 0.000195627
3.42667e+11, 0.000171741
3.47333e+11, 0.000209861
3.52e+11, 0.000217737
3.56667e+11, 0.000211614
3.61333e+11, 0.000262314
3.66e+11, 0.000243908
3.70667e+11, 0.000277949
3.75333e+11, 0.000308019
3.8e+11, 0.000294743
3.84667e+11, 0.000358915
3.89333e+11, 0.000354671
3.94e+11, 0.000382048
3.98667e+11, 0.000440103
4.03333e+11, 0.000425321
4.08e+11, 0.000501617
4.12667e+11, 0.000524034
4.17333e+11, 0.000545683
4.22e+11, 0.000640467
4.26667e+11, 0.000636831
4.31333e+11, 0.000726908
4.36e+11, 0.000795689
4.40667e+11, 0.000817875
4.45333e+11, 0.000961955
4.5e+11, 0.000991888
4.54667e+11, 0.00110102
4.59333e+11, 0.00124792
4.64e+11, 0.00129016
4.68667e+11, 0.00150881
4.73333e+11, 0.00162104
4.78e+11, 0.00177372
4.82667e+11, 0.00206326
4.87333e+11, 0.00218016
4.92e+11, 0.00253227
4.96667e+11, 0.00283443
5.01333e+11, 0.00310234
5.06e+11, 0.00368299
5.10667e+11, 0.00403344
5.15333e+11, 0.00469408
5.2e+11, 0.00549677
5.24667e+11, 0.00614992
5.29333e+11, 0.00747849
5.34e+11, 0.00862794
5.38667e+11, 0.0102571
5.43333e+11, 0.0127095
5.48e+11, 0.0149925
5.52667e+11, 0.0191315
5.57333e+11, 0.0240926
5.62e+11, 0.0306659
5.66667e+11, 0.042044
5.71333e+11, 0.056247
5.76e+11, 0.0817202
5.80667e+11, 0.124276
5.85333e+11, 0.192411
5.9e+11, 0.324972
5.94667e+11, 0.477886
5.99333e+11, 0.502443
6.04e+11, 0.382565
6.08667e+11, 0.252636
6.13333e+11, 0.171778
6.18e+11, 0.118736
6.22667e+11, 0.0866111
6.27333e+11, 0.0671089
6.32e+11, 0.0521646
6.36667e+11, 0.042936
6.41333e+11, 0.0357929
6.46e+11, 0.0300943
6.50667e+11, 0.0264322
6.55333e+11, 0.0228862
6.6e+11, 0.0203903
6.64667e+11, 0.0184231
6.69333e+11, 0.0164632
6.74e+11, 0.0152375
6.78667e+11, 0.0139313
6.83333e+11, 0.0128667
6.88e+11, 0.0121178
6.92667e+11, 0.0112124
6.97333e+11, 0.0106482
