f(Hz),Y
1e+11, 1.05878
1.04667e+11, 1.04181
1.09333e+11, 1.04043
1.14e+11, 1.03934
1.18667e+11, 1.0189
1.23333e+11, 1.02289
1.28e+11, 1.00911
1.32667e+11, 1.00223
1.37333e+11, 1.00457
1.42e+11, 0.989644
1.46667e+11, 0.992798
1.51333e+11, 0.984043
1.56e+11, 0.97795
1.60667e+11, 0.981351
1.65333e+11, 0.969318
1.7e+11, 0.973189
1.74667e+11, 0.969645
1.79333e+11, 0.964425
1.84e+11, 0.971136
1.88667e+11, 0.963726
1.93333e+11, 0.96655
1.98e+11, 0.967576
2.02667e+11, 0.963057
2.07333e+11, 0.969655
2.12e+11, 0.966248
2.16667e+11, 0.968452
2.21333e+11, 0.972569
2.26e+11, 0.969502
2.30667e+11, 0.975938
2.35333e+11, 0.975962
2.4e+11, 0.977225
2.44667e+11, 0.983053
2.49333e+11, 0.98125
2.54e+11, 0.986505
2.58667e+11, 0.988838
2.63333e+11, 0.988868
2.68e+11, 0.994927
2.72667e+11, 0.994204
2.77333e+11, 0.997507
2.82e+11, 1.00108
2.86667e+11, 0.999959
2.91333e+11, 1.00512
2.96e+11, 1.00502
3.00667e+11, 1.00542
3.05333e+11, 1.0088
3.1e+11, 1.00693
3.14667e+11, 1.01038
3.19333e+11, 1.01077
3.24e+11, 1.00972
3.28667e+11, 1.01315
3.33333e+11, 1.01055
3.38e+11, 1.01185
3.42667e+11, 1.0125
3.47333e+11, 1.00951
3.52e+11, 1.012
3.56667e+11, 1.00915
3.61333e+11, 1.00834
3.66e+11, 1.00921
3.70667e+11, 1.00482
3.75333e+11, 1.00608
3.8e+11, 1.00354
3.84667e+11, 1.0008
3.89333e+11, 1.00192
3.94e+11, 0.997209
3.98667e+11, 0.997373
4.03333e+11, 0.995924
4.08e+11, 0.99208
4.12667e+11, 0.993555
4.17333e+11, 0.989516
4.22e+11, 0.988768
4.26667e+11, 0.988866
4.31333e+11, 0.984796
4.36e+11, 0.986596
4.40667e+11, 0.984082
4.45333e+11, 0.982631
4.5e+11, 0.984264
4.54667e+11, 0.980705
4.59333e+11, 0.982615
4.64e+11, 0.981983
4.68667e+11, 0.98012
4.73333e+11, 0.98312
4.78e+11, 0.980445
4.82667e+11, 0.982131
4.87333e+11, 0.983539
4.92e+11, 0.981211
4.96667e+11, 0.984965
5.01333e+11, 0.983354
5.06e+11, 0.984038
5.10667e+11, 0.987098
5.15333e+11, 0.984298
5.2e+11, 0.988079
5.24667e+11, 0.98764
5.29333e+11, 0.986641
5.34e+11, 0.990748
5.38667e+11, 0.98715
5.43333e+11, 0.989826
5.48e+11, 0.990317
5.52667e+11, 0.986588
5.57333e+11, 0.991074
5.62e+11, 0.985964
5.66667e+11, 0.985491
5.71333e+11, 0.986237
5.76e+11, 0.976991
5.80667e+11, 0.979079
5.85333e+11, 0.968693
5.9e+11, 0.958063
5.94667e+11, 0.95062
5.99333e+11, 0.910096
6.04e+11, 0.877989
6.08667e+11, 0.821468
6.13333e+11, 0.707675
6.18e+11, 0.533661
6.22667e+11, 0.20855
6.27333e+11, 0.0045971
6.32e+11, 0.213444
6.36667e+11, 0.530269
6.41333e+11, 0.699719
6.46e+11, 0.809103
6.50667e+11, 0.868045
6.55333e+11, 0.894934
6.6e+11, 0.926401
6.64667e+11, 0.934691
6.69333e+11, 0.946253
6.74e+11, 0.956759
6.78667e+11, 0.956366
6.83333e+11, 0.965346
6.88e+11, 0.965936
6.92667e+11, 0.967156
6.97333e+11, 0.97239
7.02e+11, 0.969829
7.06667e+11, 0.973616
7.11333e+11, 0.974376
7.16e+11, 0.973282
7.20667e+11, 0.97707
7.25333e+11, 0.975243
7.3e+11, 0.976897
7.34667e+11, 0.978448
7.39333e+11, 0.976957
7.44e+11, 0.979924
7.48667e+11, 0.979247
7.53333e+11, 0.979804
7.58e+11, 0.981915
7.62667e+11, 0.980675
7.67333e+11, 0.982885
7.72e+11, 0.983195
7.76667e+11, 0.983091
7.81333e+11, 0.985332
7.86e+11, 0.984501
7.90667e+11, 0.985907
7.95333e+11, 0.986856
8e+11, 0.986285
8.04667e+11, 0.988266
8.09333e+11, 0.987823
8.14e+11, 0.988381
8.18667e+11, 0.989617
8.23333e+11, 0.988709
8.28e+11, 0.990128
8.32667e+11, 0.989985
8.37333e+11, 0.989697
8.42e+11, 0.990918
8.46667e+11, 0.989791
8.51333e+11, 0.990456
8.56e+11, 0.990531
8.60667e+11, 0.989467
8.65333e+11, 0.990451
8.7e+11, 0.98927
8.74667e+11, 0.989113
8.79333e+11, 0.989376
8.84e+11, 0.987746
8.88667e+11, 0.988474
8.93333e+11, 0.987186
8.98e+11, 0.985212
9.02667e+11, 0.985228
9.07333e+11, 0.98365
9.12e+11, 0.983593
9.16667e+11, 0.982979
9.21333e+11, 0.981584
9.26e+11, 0.98196
9.30667e+11, 0.980444
9.35333e+11, 0.980064
9.4e+11, 0.979926
9.44667e+11, 0.978381
9.49333e+11, 0.978806
9.54e+11, 0.977751
9.58667e+11, 0.977087
9.63333e+11, 0.977394
9.68e+11, 0.975959
9.72667e+11, 0.97627
9.77333e+11, 0.975755
9.82e+11, 0.974834
9.86667e+11, 0.975365
9.91333e+11, 0.974145
9.96e+11, 0.9741
1.00067e+12, 0.973974
1.00533e+12, 0.97276
1.01e+12, 0.973132
1.01467e+12, 0.97207
1.01933e+12, 0.971397
1.024e+12, 0.97132
1.02867e+12, 0.969713
1.03333e+12, 0.969472
1.038e+12, 0.968351
1.04267e+12, 0.966762
1.04733e+12, 0.966262
1.052e+12, 0.964073
1.05667e+12, 0.962689
1.06133e+12, 0.961117
1.066e+12, 0.958226
1.07067e+12, 0.956608
1.07533e+12, 0.953434
1.08e+12, 0.950157
1.08467e+12, 0.947362
1.08933e+12, 0.942493
1.094e+12, 0.9386
1.09867e+12, 0.933509
1.10333e+12, 0.927045
1.108e+12, 0.92143
1.11267e+12, 0.913084
1.11733e+12, 0.904641
1.122e+12, 0.895289
1.12667e+12, 0.882793
1.13133e+12, 0.870546
1.136e+12, 0.854711
1.14067e+12, 0.836254
1.14533e+12, 0.816068
1.15e+12, 0.789852
1.15467e+12, 0.760643
1.15933e+12, 0.725266
1.164e+12, 0.681658
1.16867e+12, 0.631688
1.17333e+12, 0.570108
1.178e+12, 0.497755
1.18267e+12, 0.414981
1.18733e+12, 0.320436
1.192e+12, 0.220757
1.19667e+12, 0.125269
1.20133e+12, 0.0484017
1.206e+12, 0.00560926
1.21067e+12, 0.00596131
