f(THz),Y
0.1, 3.0977e-05
0.104667, 2.48125e-05
0.109333, 2.51671e-06
0.114, 3.15709e-05
0.118667, 5.90222e-06
0.123333, 1.57892e-05
0.128, 2.74886e-05
0.132667, 8.31345e-07
0.137333, 2.61747e-05
0.142, 1.18716e-05
0.146667, 1.17119e-05
0.151333, 3.27135e-05
0.156, 4.97789e-06
0.160667, 2.7315e-05
0.165333, 2.31402e-05
0.17, 1.01964e-05
0.174667, 3.76537e-05
0.179333, 1.29273e-05
0.184, 2.68873e-05
0.188667, 3.50323e-05
0.193333, 1.37057e-05
0.198, 4.3045e-05
0.202667, 2.53582e-05
0.207333, 2.79616e-05
0.212, 4.71133e-05
0.216667, 2.14486e-05
0.221333, 4.75401e-05
0.226, 4.04987e-05
0.230667, 3.17816e-05
0.235333, 5.91611e-05
0.24, 3.44573e-05
0.244667, 5.44031e-05
0.249333, 5.99798e-05
0.254, 4.12391e-05
0.258667, 7.40592e-05
0.263333, 5.43409e-05
0.268, 6.33307e-05
0.272667, 8.30861e-05
0.277333, 5.87371e-05
0.282, 9.322e-05
0.286667, 8.43664e-05
0.291333, 8.2762e-05
0.296, 0.000120728
0.300667, 9.61075e-05
0.305333, 0.000119844
0.31, 0.000121732
0.314667, 0.000105578
0.319333, 0.000146288
0.324, 0.000122854
0.328667, 0.000142205
0.333333, 0.000165295
0.338, 0.000140478
0.342667, 0.000188436
0.347333, 0.000176762
0.352, 0.000184025
0.356667, 0.000226571
0.361333, 0.000196312
0.366, 0.000244966
0.370667, 0.00025146
0.375333, 0.000245335
0.38, 0.00030909
0.384667, 0.000281717
0.389333, 0.000326686
0.394, 0.000359854
0.398667, 0.000338834
0.403333, 0.000421063
0.408, 0.000407509
0.412667, 0.000441757
0.417333, 0.000510203
0.422, 0.000480216
0.426667, 0.00057569
0.431333, 0.000589767
0.436, 0.000609043
0.440667, 0.000720863
0.445333, 0.000694726
0.45, 0.00080084
0.454667, 0.000864533
0.459333, 0.00087061
0.464, 0.00103578
0.468667, 0.00103506
0.473333, 0.00115171
0.478, 0.00129976
0.482667, 0.0013038
0.487333, 0.0015388
