f(Hz),Y
1e+11, 0.879078
1.07e+11, 0.914517
1.14e+11, 0.872034
1.21e+11, 0.922503
1.28e+11, 0.875738
1.35e+11, 0.918
1.42e+11, 0.886454
1.49e+11, 0.906709
1.56e+11, 0.899697
1.63e+11, 0.895031
1.7e+11, 0.91016
1.77e+11, 0.888178
1.84e+11, 0.914772
1.91e+11, 0.88825
1.98e+11, 0.912852
2.05e+11, 0.893327
2.12e+11, 0.905652
2.19e+11, 0.900524
2.26e+11, 0.897444
2.33e+11, 0.906556
2.4e+11, 0.891629
2.47e+11, 0.909066
2.54e+11, 0.889886
2.61e+11, 0.90724
2.68e+11, 0.892252
2.75e+11, 0.902184
2.82e+11, 0.896916
2.89e+11, 0.896049
2.96e+11, 0.901401
3.03e+11, 0.890484
3.1e+11, 0.902985
3.17e+11, 0.888894
3.24e+11, 0.90263
3.31e+11, 0.890807
3.38e+11, 0.899827
3.45e+11, 0.895103
3.52e+11, 0.896113
3.59e+11, 0.89996
3.66e+11, 0.893171
3.73e+11, 0.903313
3.8e+11, 0.892199
3.87e+11, 0.90392
3.94e+11, 0.893598
4.01e+11, 0.901737
4.08e+11, 0.896725
4.15e+11, 0.897944
4.22e+11, 0.900374
4.29e+11, 0.894257
4.36e+11, 0.902917
4.43e+11, 0.89209
4.5e+11, 0.902994
4.57e+11, 0.892082
4.64e+11, 0.900268
4.71e+11, 0.894186
4.78e+11, 0.895555
4.85e+11, 0.897016
4.92e+11, 0.890257
4.99e+11, 0.899084
5.06e+11, 0.886014
5.13e+11, 0.898657
5.2e+11, 0.884033
5.27e+11, 0.894557
5.34e+11, 0.884509
5.41e+11, 0.886404
5.48e+11, 0.885975
5.55e+11, 0.873701
5.62e+11, 0.884623
5.69e+11, 0.853191
5.76e+11, 0.868779
5.83e+11, 0.802608
5.9e+11, 0.771455
5.97e+11, 0.482269
6.04e+11, 0.146613
6.11e+11, 0.479828
6.18e+11, 0.756813
6.25e+11, 0.799745
6.32e+11, 0.862118
6.39e+11, 0.853587
6.46e+11, 0.880721
6.53e+11, 0.87384
6.6e+11, 0.884161
6.67e+11, 0.884696
6.74e+11, 0.88439
6.81e+11, 0.890517
6.88e+11, 0.884732
6.95e+11, 0.892707
7.02e+11, 0.885958
7.09e+11, 0.89229
7.16e+11, 0.887747
7.23e+11, 0.890413
7.3e+11, 0.889376
7.37e+11, 0.88818
7.44e+11, 0.890173
7.51e+11, 0.886434
7.58e+11, 0.889821
7.65e+11, 0.885534
7.72e+11, 0.88842
7.79e+11, 0.885391
7.86e+11, 0.886444
7.93e+11, 0.885624
8e+11, 0.884534
8.07e+11, 0.885792
8.14e+11, 0.883227
8.21e+11, 0.885587
8.28e+11, 0.882812
8.35e+11, 0.884972
8.42e+11, 0.883192
8.49e+11, 0.884145
8.56e+11, 0.884027
8.63e+11, 0.88344
8.7e+11, 0.884841
8.77e+11, 0.883103
8.84e+11, 0.885214
8.91e+11, 0.883209
8.98e+11, 0.883695
9.05e+11, 0.881864
9.12e+11, 0.882568
9.19e+11, 0.882125
9.26e+11, 0.881298
9.33e+11, 0.881891
9.4e+11, 0.879897
9.47e+11, 0.880826
9.54e+11, 0.878411
9.61e+11, 0.878843
9.68e+11, 0.876813
9.75e+11, 0.876028
9.82e+11, 0.874822
9.89e+11, 0.872651
9.96e+11, 0.872154
1.003e+12, 0.868978
1.01e+12, 0.868569
1.017e+12, 0.865084
1.024e+12, 0.863919
1.031e+12, 0.860754
1.038e+12, 0.858119
1.045e+12, 0.855394
1.052e+12, 0.850889
1.059e+12, 0.847937
1.066e+12, 0.841425
1.073e+12, 0.836721
1.08e+12, 0.827763
1.087e+12, 0.818787
1.094e+12, 0.805481
1.101e+12, 0.787963
1.108e+12, 0.764627
1.115e+12, 0.729517
1.122e+12, 0.680848
1.129e+12, 0.605266
1.136e+12, 0.493851
1.143e+12, 0.333009
1.15e+12, 0.143314
1.157e+12, 0.022386
1.164e+12, 0.0729803
1.171e+12, 0.239296
1.178e+12, 0.405847
1.185e+12, 0.530764
1.192e+12, 0.6126
1.199e+12, 0.672018
1.206e+12, 0.710001
1.213e+12, 0.738328
1.22e+12, 0.7573
1.227e+12, 0.770518
1.234e+12, 0.78143
1.241e+12, 0.786336
1.248e+12, 0.793054
1.255e+12, 0.793507
1.262e+12, 0.796821
1.269e+12, 0.795441
1.276e+12, 0.795037
1.283e+12, 0.793357
1.29e+12, 0.789063
1.297e+12, 0.787297
1.304e+12, 0.779729
1.311e+12, 0.776879
1.318e+12, 0.767411
1.325e+12, 0.762016
1.332e+12, 0.752376
1.339e+12, 0.743558
1.346e+12, 0.735193
1.353e+12, 0.723594
1.36e+12, 0.716997
1.367e+12, 0.704542
1.374e+12, 0.698956
1.381e+12, 0.6882
1.388e+12, 0.682341
1.395e+12, 0.674782
1.402e+12, 0.667099
1.409e+12, 0.662844
1.416e+12, 0.652876
1.423e+12, 0.649957
1.43e+12, 0.638881
1.437e+12, 0.634509
1.444e+12, 0.624131
1.451e+12, 0.615378
1.458e+12, 0.60686
1.465e+12, 0.592422
1.472e+12, 0.584921
1.479e+12, 0.562472
1.486e+12, 0.553115
1.493e+12, 0.53436
1.5e+12, 0.5208
