f(THz),Y
0.1, 0.000224066
0.107, 0.000270114
0.114, 0.00016641
0.121, 0.000172122
0.128, 0.000155361
0.135, 0.00010335
0.142, 0.00014498
0.149, 6.53543e-05
0.156, 0.000128325
0.163, 4.78525e-05
0.17, 0.000104493
0.177, 5.04024e-05
0.184, 7.02331e-05
0.191, 6.5321e-05
0.198, 3.60298e-05
0.205, 8.05735e-05
0.212, 1.293e-05
0.219, 8.34481e-05
0.226, 8.30021e-06
0.233, 7.10617e-05
0.24, 2.09749e-05
0.247, 4.81308e-05
0.254, 4.49734e-05
0.261, 2.18266e-05
0.268, 6.98946e-05
0.275, 3.46943e-06
0.282, 8.46332e-05
0.289, 2.67877e-06
0.296, 8.67375e-05
0.303, 2.80119e-05
0.31, 5.88097e-05
0.317, 6.02358e-05
0.324, 3.23524e-05
0.331, 9.30052e-05
0.338, 1.66694e-05
0.345, 0.000114347
0.352, 2.15859e-05
0.359, 0.000117696
0.366, 5.11298e-05
0.373, 0.000104183
0.38, 0.000101428
0.387, 8.3233e-05
0.394, 0.000159914
0.401, 7.21369e-05
0.408, 0.000212514
0.415, 8.92302e-05
0.422, 0.000245851
0.429, 0.000147876
0.436, 0.000257573
0.443, 0.0002527
0.45, 0.000259867
0.457, 0.000395211
0.464, 0.000281235
0.471, 0.000558691
0.478, 0.000365189
0.485, 0.000730596
0.492, 0.000569601
0.499, 0.000903869
0.506, 0.000951167
0.513, 0.00112516
0.52, 0.00160077
0.527, 0.00151778
0.534, 0.00264029
0.541, 0.00238837
0.548, 0.00439477
0.555, 0.00454207
0.562, 0.00785793
0.569, 0.0105577
0.576, 0.0170813
0.583, 0.0328751
0.59, 0.0603724
0.597, 0.196791
0.604, 0.314919
0.611, 0.206759
0.618, 0.0731919
0.625, 0.0430898
0.632, 0.0249087
0.639, 0.016982
0.646, 0.0132525
0.653, 0.00922894
0.66, 0.0085432
0.667, 0.0061218
0.674, 0.00604091
0.681, 0.00466144
0.688, 0.00451169
0.695, 0.00387704
0.702, 0.00353434
0.709, 0.00338204
0.716, 0.0029216
0.723, 0.00300921
0.73, 0.00256291
0.737, 0.00269445
0.744, 0.00237236
0.751, 0.00242719
0.758, 0.00228061
0.765, 0.00221828
0.772, 0.00223249
0.779, 0.00208064
0.786, 0.00219303
0.793, 0.00201852
0.8, 0.0021506
0.807, 0.0020249
0.814, 0.0021101
0.821, 0.00208033
0.828, 0.00208902
0.835, 0.00216155
0.842, 0.00210682
0.849, 0.00224875
0.856, 0.0021765
0.863, 0.00233633
0.87, 0.00230383
0.877, 0.00242507
0.884, 0.00247507
0.891, 0.00251164
0.898, 0.00264222
0.905, 0.00272578
0.912, 0.00296839
0.919, 0.00301064
0.926, 0.0032873
0.933, 0.00338165
0.94, 0.00365005
0.947, 0.00385856
0.954, 0.00409548
0.961, 0.0044436
0.968, 0.00467174
0.975, 0.00516196
0.982, 0.00544565
0.989, 0.00604413
0.996, 0.00648483
1.003, 0.00716595
1.01, 0.00787881
1.017, 0.00866379
1.024, 0.00975597
1.031, 0.0107629
1.038, 0.0123371
1.045, 0.0138046
1.052, 0.0160004
1.059, 0.0183438
1.066, 0.0214682
1.073, 0.0253846
1.08, 0.0301631
1.087, 0.0368781
1.094, 0.0450356
1.101, 0.0570707
1.108, 0.0727762
1.115, 0.0962155
1.122, 0.130118
1.129, 0.181241
1.136, 0.260048
1.143, 0.372212
1.15, 0.510632
1.157, 0.601909
1.164, 0.575235
1.171, 0.463473
1.178, 0.346189
1.185, 0.259099
1.192, 0.196155
1.199, 0.153356
1.206, 0.123714
1.213, 0.102029
1.22, 0.0868711
1.227, 0.0745445
1.234, 0.0660545
1.241, 0.0586069
1.248, 0.0533183
1.255, 0.0488249
1.262, 0.0451143
1.269, 0.0425346
1.276, 0.0397392
1.283, 0.0383135
1.29, 0.0362417
1.297, 0.0353209
1.304, 0.0339812
1.311, 0.0330767
1.318, 0.0323961
1.325, 0.0312094
1.332, 0.0308246
1.339, 0.0292769
1.346, 0.0286894
1.353, 0.0271125
1.36, 0.0260998
1.367, 0.0249684
1.374, 0.0236565
1.381, 0.0232004
1.388, 0.0217977
1.395, 0.0217653
1.402, 0.0205553
1.409, 0.0204628
1.416, 0.0198283
1.423, 0.0195248
1.43, 0.0197855
1.437, 0.0194366
1.444, 0.0207536
1.451, 0.0207578
1.458, 0.0230146
1.465, 0.0239537
1.472, 0.026989
1.479, 0.0297396
1.486, 0.0317972
1.493, 0.0361286
1.5, 0.0386557
