f(THz),Y
0.1, 4.43103e-08
0.104667, 1.29131e-05
0.109333, 6.52012e-06
0.114, 4.73344e-06
0.118667, 1.56714e-05
0.123333, 1.70313e-06
0.128, 1.49123e-05
0.132667, 1.01794e-05
0.137333, 6.53709e-06
0.142, 1.9288e-05
0.146667, 5.03082e-06
0.151333, 1.76074e-05
0.156, 1.49021e-05
0.160667, 9.60131e-06
0.165333, 2.4048e-05
0.17, 9.94807e-06
0.174667, 2.18312e-05
0.179333, 2.16364e-05
0.184, 1.47823e-05
0.188667, 3.1078e-05
0.193333, 1.72867e-05
0.198, 2.7742e-05
0.202667, 3.02727e-05
0.207333, 2.14088e-05
0.212, 3.93385e-05
0.216667, 2.68648e-05
0.221333, 3.59461e-05
0.226, 4.16658e-05
0.230667, 3.11019e-05
0.235333, 5.06509e-05
0.24, 3.99153e-05
0.244667, 4.74537e-05
0.249333, 5.66765e-05
0.254, 4.51092e-05
0.258667, 6.69158e-05
0.263333, 5.78127e-05
0.268, 6.40754e-05
0.272667, 7.88391e-05
0.277333, 6.57663e-05
0.282, 8.99562e-05
0.286667, 8.51012e-05
0.291333, 9.03977e-05
0.296, 0.00011522
0.300667, 0.000105091
0.305333, 0.000126101
0.31, 0.000121095
0.314667, 0.000123064
0.319333, 0.000146818
0.324, 0.000132507
0.328667, 0.000159219
0.333333, 0.000162308
0.338, 0.000163758
0.342667, 0.00019589
0.347333, 0.000183643
0.352, 0.000214464
0.356667, 0.000225675
0.361333, 0.000227249
0.366, 0.000269234
0.370667, 0.000260028
0.375333, 0.000296356
0.38, 0.000318611
0.384667, 0.000321681
0.389333, 0.000377765
0.394, 0.000374965
0.398667, 0.000420184
0.403333, 0.000459428
0.408, 0.000467325
0.412667, 0.000544996
0.417333, 0.000554795
0.422, 0.000615256
0.426667, 0.000682066
0.431333, 0.000700484
0.436, 0.000811811
0.440667, 0.000844803
0.445333, 0.000931439
0.45, 0.00104573
0.454667, 0.00108859
0.459333, 0.00125974
0.464, 0.0013417
0.468667, 0.00148163
0.473333, 0.00168747
0.478, 0.00178829
0.482667, 0.00207666
0.487333, 0.00226749
0.492, 0.00252454
0.496667, 0.00292539
0.501333, 0.003172
0.506, 0.00372272
0.510667, 0.0041905
0.515333, 0.0047544
0.52, 0.00565538
0.524667, 0.00634645
0.529333, 0.00763354
0.534, 0.00897365
0.538667, 0.0105667
0.543333, 0.0131556
0.548, 0.0156374
0.552667, 0.0198493
0.557333, 0.025225
0.562, 0.03219
0.566667, 0.0442221
0.571333, 0.0596843
0.576, 0.0871852
0.580667, 0.13305
0.585333, 0.20775
0.59, 0.34711
0.594667, 0.489685
0.599333, 0.488344
0.604, 0.358763
0.608667, 0.23824
0.613333, 0.163578
0.618, 0.113396
0.622667, 0.0843507
0.627333, 0.0651863
0.632, 0.0510951
0.636667, 0.0424985
0.641333, 0.0351143
0.646, 0.0300191
0.650667, 0.0262267
0.655333, 0.0227105
0.66, 0.0205015
0.664667, 0.018262
0.669333, 0.0165521
0.674, 0.0152793
0.678667, 0.0138775
0.683333, 0.0130268
0.688, 0.0120793
0.692667, 0.0112919
0.697333, 0.0107502
0.702, 0.0100476
0.706667, 0.00964622
0.711333, 0.00917724
0.716, 0.00874614
0.720667, 0.0084912
0.725333, 0.00809281
0.73, 0.00788243
0.734667, 0.00763646
0.739333, 0.00737778
0.744, 0.00726234
0.748667, 0.0070257
0.753333, 0.00691462
0.758, 0.00679298
0.762667, 0.00663347
0.767333, 0.00659906
0.772, 0.0064636
0.776667, 0.00641417
0.781333, 0.00637411
0.786, 0.00628072
0.790667, 0.00629976
0.795333, 0.00623549
0.8, 0.00622823
0.804667, 0.00624637
0.809333, 0.00620275
0.814, 0.00626193
0.818667, 0.00625338
0.823333, 0.00628204
0.828, 0.00635133
0.832667, 0.00635333
0.837333, 0.00645191
0.842, 0.00649767
0.846667, 0.0065634
0.851333, 0.00668254
0.856, 0.00672961
0.860667, 0.00687037
0.865333, 0.00697079
0.87, 0.00707495
0.874667, 0.00725288
0.879333, 0.00734598
0.884, 0.00752827
0.888667, 0.00768436
0.893333, 0.00778427
0.898, 0.00801864
0.902667, 0.0082609
0.907333, 0.00854252
0.912, 0.00881059
0.916667, 0.00907178
0.921333, 0.00941318
0.926, 0.00970536
0.930667, 0.0100702
0.935333, 0.0104568
