Frequency (THz),Loss (dB/mm)
0.1, 0.106022
0.148276, 0.10678
0.196552, 0.106287
0.244828, 0.105598
0.293103, 0.105267
0.341379, 0.105376
0.389655, 0.105867
0.437931, 0.106554
0.486207, 0.107279
0.534483, 0.108042
0.582759, 0.108864
0.631034, 0.109752
0.67931, 0.110711
0.727586, 0.111751
0.775862, 0.112879
0.824138, 0.114112
0.872414, 0.115474
0.92069, 0.116997
0.968966, 0.118722
1.01724, 0.120697
1.06552, 0.122972
1.11379, 0.125591
1.16207, 0.128598
1.21034, 0.132039
1.25862, 0.135963
1.3069, 0.140416
1.35517, 0.145444
1.40345, 0.151093
1.45172, 0.157412
1.5, 0.164452
