Frequency (THz),Loss (dB/mm)
0.1, 0.00371479
0.148276, 0.00428579
0.196552, 0.00358041
0.244828, 0.00250797
0.293103, 0.00166779
0.341379, 0.00118204
0.389655, 0.00103023
0.437931, 0.00107311
0.486207, 0.00115014
0.534483, 0.00121686
0.582759, 0.00129251
0.631034, 0.00138555
0.67931, 0.00150078
0.727586, 0.00164526
0.775862, 0.0018255
0.824138, 0.00205027
0.872414, 0.0023356
0.92069, 0.00270393
0.968966, 0.00318327
1.01724, 0.00380835
1.06552, 0.00461828
1.11379, 0.00565246
1.16207, 0.00694919
1.21034, 0.00854765
1.25862, 0.0104892
1.3069, 0.0128157
1.35517, 0.0155682
1.40345, 0.0187865
1.45172, 0.0225111
1.5, 0.0267844
